Date,Real Value,Predicted Value
2023-06-16,24.203144073486328,22.644945
2023-06-19,24.84007453918457,22.78009
2023-06-20,24.96255683898925,23.077223
2023-06-21,26.00777053833008,23.356274
2023-06-22,25.68113899230957,23.65735
2023-06-23,24.62776565551757,23.930124
2023-06-26,25.183029174804688,23.965662
2023-06-27,24.9870548248291,24.07747
2023-06-28,25.223857879638672,24.146215
2023-06-29,25.338180541992188,24.289242
2023-06-30,24.113325119018555,24.535955
2023-07-03,24.56243896484375,24.563662
2023-07-04,24.619598388671875,24.551744
2023-07-05,24.58693504333496,24.53018
2023-07-06,24.211313247680664,24.482378
2023-07-07,24.08882522583008,24.431496
2023-07-10,24.129653930664062,24.257387
2023-07-11,23.80303001403809,24.04625
2023-07-12,23.8193588256836,23.688536
2023-07-13,24.19497871398925,23.423862
2023-07-14,23.721370697021484,23.476934
2023-07-17,23.67237663269043,23.39946
2023-07-18,23.541725158691406,23.306223
2023-07-19,23.7622013092041,23.3347
2023-07-20,23.786693572998047,23.555109
2023-07-21,24.235811233520508,23.649944
2023-07-24,24.74208641052246,23.838057
2023-07-25,25.313684463500977,24.114819
2023-07-26,25.313684463500977,24.441938
2023-07-27,23.999004364013672,24.727102
2023-07-28,24.301136016845703,24.524351
2023-07-31,25.403507232666016,24.362703
2023-08-01,24.9870548248291,24.502735
2023-08-02,24.929895401000977,24.678656
2023-08-03,25.24835968017578,24.843388
2023-08-04,24.49711227416992,25.023903
2023-08-07,24.65225982666016,24.951693
2023-08-08,24.67675971984864,24.935991
2023-08-09,24.87273597717285,24.942347
2023-08-10,25.011552810668945,25.060766
2023-08-11,24.95439338684082,25.17472
2023-08-14,25.019716262817383,25.275911
2023-08-15,25.199365615844727,25.381746
2023-08-16,25.75463104248047,25.514626
2023-08-17,25.672975540161133,25.784212
2023-08-18,25.738300323486328,25.991068
2023-08-21,25.55865478515625,26.070995
2023-08-22,25.94800567626953,26.006607
2023-08-23,27.32975196838379,25.75184
2023-08-24,27.2873649597168,25.817307
2023-08-25,27.10087203979492,26.12551
2023-08-28,27.40604591369629,26.414646
2023-08-29,27.46538543701172,26.604368
2023-08-30,27.65187644958496,26.759892
2023-08-31,27.07544136047364,26.899551
2023-09-01,27.66035461425781,26.877584
2023-09-04,27.37213706970215,27.047283
2023-09-05,28.28764533996582,27.1166
2023-09-06,28.414804458618164,27.418242
2023-09-08,28.31308364868164,27.764692
2023-09-11,28.28764533996582,28.044474
2023-09-12,28.42327880859375,28.153805
2023-09-13,27.999431610107425,28.301928
2023-09-14,28.71149444580078,28.30364
2023-09-15,28.72844886779785,28.501022
2023-09-18,28.931900024414062,28.684313
2023-09-19,28.999711990356445,28.880236
2023-09-20,29.067533493041992,29.051706
2023-09-21,28.618247985839844,29.190588
2023-09-22,28.84712791442871,29.237082
2023-09-25,29.033620834350582,29.338915
2023-09-26,28.363943099975582,29.42356
2023-09-27,29.262500762939453,29.25641
2023-09-28,29.203163146972656,29.325136
2023-09-29,29.36422348022461,29.476587
2023-10-02,28.92342185974121,29.6733
2023-10-03,28.7962646484375,29.72317
2023-10-04,27.65187644958496,29.80172
2023-10-05,27.745121002197266,29.53193
2023-10-06,28.40632438659668,29.280313
2023-10-09,29.627010345458984,29.223783
2023-10-10,29.847410202026367,29.376102
2023-10-11,29.7711181640625,29.73733
2023-10-13,30.75444602966309,30.008364
2023-10-16,31.093524932861328,30.21432
2023-10-17,31.93274688720703,30.424818
2023-10-18,32.65328598022461,30.78656
2023-10-19,32.50070571899414,31.137491
2023-10-20,32.0853271484375,31.389193
2023-10-23,29.9660873413086,31.498537
2023-10-24,30.41536903381348,31.238657
2023-10-25,30.5764274597168,31.155325
2023-10-26,30.26278114318848,31.257256
2023-10-27,30.042375564575195,31.294683
2023-10-30,29.737211227416992,31.333494
2023-10-31,29.44899177551269,31.336714
2023-11-01,29.7711181640625,31.099918
2023-11-03,30.12714958190918,30.838015
2023-11-06,30.10171699523925,30.686647
2023-11-07,29.60157966613769,30.591335
2023-11-08,28.965805053710938,30.530355
2023-11-09,29.567670822143555,30.293325
2023-11-10,29.432037353515625,30.119392
2023-11-13,30.25430488586425,30.014734
2023-11-14,30.66967964172364,30.27999
2023-11-16,30.135631561279297,30.616447
2023-11-17,31.118955612182617,30.68154
2023-11-20,31.14438819885254,30.781162
2023-11-21,30.822263717651367,30.896349
2023-11-22,30.973119735717773,30.910788
2023-11-23,30.98192596435547,30.748426
2023-11-24,31.07002258300781,30.76914
2023-11-27,30.89383316040039,30.876112
2023-11-28,31.36072540283203,30.944874
2023-11-29,31.03478240966797,31.002111
2023-11-30,31.63380622863769,31.083792
2023-12-01,31.422388076782227,31.190187
2023-12-04,30.75288772583008,31.220953
2023-12-05,30.6119441986084,31.196753
2023-12-06,29.510791778564453,31.114548
2023-12-07,29.440319061279297,30.57135
2023-12-08,30.38290405273437,30.033352
2023-12-11,30.268386840820312,29.903616
2023-12-12,30.021728515625,29.979837
2023-12-13,30.453378677368164,30.170546
2023-12-14,31.11406707763672,30.486437
2023-12-15,31.18454360961914,30.573359
2023-12-18,31.5721435546875,30.646248
2023-12-19,31.933324813842773,30.824736
2023-12-20,32.04784393310547,31.039394
2023-12-21,32.05664825439453,31.266909
2023-12-22,32.36497116088867,31.559711
2023-12-26,32.88471603393555,31.93242
2023-12-27,32.91114044189453,32.396343
2023-12-28,32.8054313659668,32.81036
2024-01-02,33.2811279296875,33.108624
2024-01-03,34.32060623168945,33.373898
2024-01-04,34.029911041259766,33.570393
2024-01-05,34.10919189453125,33.69384
