Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?
2022-08-26,233.6300048828125,229.5471,4.0829010009765625,1.7475927387941983,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-08-29,221.92999267578125,230.04625,8.116256713867188,3.6571247608358513,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-08-30,226.6600036621093,230.6348,3.9747924804688353,1.753636467064657,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-08-31,227.0,231.25304,4.2530364990234375,1.8735843608032765,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-01,220.72000122070312,231.9377,11.217697143554688,5.082320171037806,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-02,231.02999877929688,232.4127,1.3827056884765625,0.5984961675031052,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-06,225.58999633789065,232.99757,7.407577514648409,3.2836462763859773,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-07,220.2100067138672,233.70506,13.49505615234375,6.128266536896632,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-08,224.1600036621093,234.28867,10.128662109375085,4.51849658453908,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-09,229.6199951171875,234.92728,5.307281494140625,2.311332465376995,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-12,233.6100006103516,235.68895,2.0789489746093466,0.8899229353099987,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-13,226.5,236.0691,9.569107055664062,4.224771327004001,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-14,219.82000732421875,236.4874,16.667388916015625,7.582289309740774,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-15,230.47000122070312,236.91609,6.4460906982421875,2.796932643771399,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-16,231.22000122070312,237.14766,5.9276580810546875,2.563644169950784,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-19,245.0500030517578,237.66054,7.38946533203125,3.0154928545218165,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-20,240.3699951171875,238.16698,2.2030181884765625,0.9165113089104677,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-21,242.6699981689453,238.89326,3.7767333984375,1.5563248143300197,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-22,235.3500061035156,239.88582,4.535812377929716,1.9272624857866794,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-23,235.13999938964844,240.6067,5.466705322265625,2.324872559520082,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-26,225.6000061035156,241.31918,15.719177246093778,6.967720221993745,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-27,228.6300048828125,241.68106,13.051055908203125,5.708374067040163,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-28,229.69000244140625,241.93935,12.249343872070312,5.3329895693632166,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-29,241.6100006103516,242.26907,0.6590728759765341,0.27278377315160546,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-09-30,237.0,242.78835,5.7883453369140625,2.4423398046050897,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-03,237.8500061035156,243.46497,5.614959716796903,2.360714556531563,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-04,244.83999633789065,244.3052,0.5347900390625284,0.2184242963002226,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-05,238.759994506836,244.99962,6.239624023437443,2.6133456889733657,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-06,236.67999267578125,245.62491,8.944915771484375,3.7793290722877737,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-07,235.7700042724609,246.01817,10.248168945312528,4.346680561395555,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-10,225.63999938964844,246.70157,21.061569213867188,9.334146991153297,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-11,226.0500030517578,247.19386,21.14385986328125,9.35362069357726,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-12,214.3000030517578,247.38945,33.089447021484375,15.440712342637063,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-13,212.69000244140625,247.59937,34.90936279296875,16.41325985812892,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-14,237.8000030517578,247.32503,9.5250244140625,4.005476994039127,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-17,234.4100036621093,246.98819,12.578186035156335,5.36589131805449,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-18,249.8000030517578,247.03494,2.7650604248046875,1.1069096841571195,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-19,265.0,247.18929,17.810714721679688,6.721024423275354,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-20,272.7799987792969,247.88716,24.892837524414062,9.125609515290954,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-21,268.95001220703125,248.68146,20.2685546875,7.536179129041182,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-24,290.2300109863281,249.45648,40.773529052734375,14.04869500372072,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-25,286.95001220703125,250.60428,36.345733642578125,12.666224811433388,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-26,290.0400085449219,251.76541,38.27459716796875,13.196316384069034,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-27,298.3299865722656,253.0945,45.23548889160156,15.162903807071368,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-28,297.70001220703125,254.73431,42.9656982421875,14.432548364259931,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-10-31,295.1300048828125,256.31955,38.810455322265625,13.150291288639432,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-01,296.1700134277344,257.74634,38.423675537109375,12.973519868676634,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-02,286.3999938964844,259.5028,26.897186279296875,9.391475856322302,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-03,271.25,260.97128,10.278717041015625,3.7893887708813363,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-04,272.0199890136719,262.19498,9.82501220703125,3.611871407927099,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-07,261.0599975585937,263.4027,2.342712402343807,0.8973846718197398,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-08,259.9200134277344,264.66196,4.741943359375,1.8243856241925764,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-09,259.6600036621094,265.41086,5.7508544921875,2.2147633101288013,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-10,265.989990234375,266.33633,0.346343994140625,0.1302094089463467,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-11,274.4700012207031,267.05328,7.416717529296875,2.7021960492261754,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-14,290.0,267.53125,22.46875,7.747844827586207,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-15,309.20001220703125,268.23566,40.96435546875,13.248497364651291,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-16,309.94000244140625,269.04984,40.890167236328125,13.192929894248923,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-17,294.7200012207031,270.05984,24.66015625,8.36731682541392,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-18,297.3299865722656,271.058,26.27197265625,8.835964700070585,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-21,291.0,272.21155,18.7884521484375,6.456512765786082,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-22,284.989990234375,273.04636,11.943634033203125,4.190895976164185,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-23,285.9100036621094,273.50958,12.400421142578125,4.337176378491827,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-25,289.0,273.71082,15.2891845703125,5.290375283845155,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-28,284.0,274.16193,9.83807373046875,3.4641104684749116,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-29,282.5,274.39334,8.106658935546875,2.869613782494469,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-11-30,281.3699951171875,274.79123,6.578765869140625,2.338119196540712,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-01,303.989990234375,275.3607,28.629302978515625,9.417843974547502,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-02,310.489990234375,275.94745,34.54254150390625,11.125170727027827,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-05,316.4599914550781,276.39044,40.069549560546875,12.661805802467384,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-06,311.0,277.06592,33.93408203125,10.911280395900322,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-07,306.5,278.02826,28.47174072265625,9.289311818158646,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-08,309.1099853515625,279.36267,29.747314453125,9.623537207732792,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-09,321.45001220703125,280.5147,40.935302734375,12.734578061863767,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-12,320.0,281.65775,38.342254638671875,11.981954574584961,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-13,328.0,282.52014,45.4798583984375,13.865810487328506,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-14,318.9700012207031,283.78662,35.183380126953125,11.03031005809505,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-15,302.1199951171875,285.29944,16.820556640625,5.567508576882036,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-16,288.760009765625,286.42166,2.338348388671875,0.8097895517353041,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-19,289.7300109863281,287.28845,2.441558837890625,0.8427013927824819,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-20,281.239990234375,287.80133,6.56134033203125,2.3330040392062568,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-21,289.989990234375,287.88605,2.10394287109375,0.725522584208271,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-22,298.0899963378906,287.84488,10.2451171875,3.43692083376289,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-23,296.17999267578125,288.2174,7.96258544921875,2.6884278635036423,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-27,293.19000244140625,288.34357,4.846435546875,1.6530016393869214,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-28,281.9200134277344,288.45132,6.53131103515625,2.3167248595603684,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-29,283.17999267578125,288.6737,5.49371337890625,1.9400075997586874,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2022-12-30,285.5299987792969,288.4309,2.900909423828125,1.0159736056561997,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-03,298.0599975585937,288.15286,9.907135009765568,3.3238727406947617,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-04,298.239990234375,287.84372,10.396270751953125,3.4858741591907605,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-05,307.0,287.6437,19.356292724609375,6.304981343520969,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-06,311.57000732421875,287.85727,23.712738037109375,7.610725512624191,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-09,316.8299865722656,288.18494,28.645050048828125,9.041142335905281,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-10,311.07000732421875,288.7302,22.339813232421875,7.181603081758303,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-11,326.5,289.26718,37.232818603515625,11.403619786681661,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-12,332.5,290.08008,42.419921875,12.757871240601503,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-13,329.9700012207031,290.5771,39.392913818359375,11.93833187036027,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-17,331.0799865722656,291.47046,39.609527587890625,11.963733597423278,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-18,326.75,292.36053,34.38946533203125,10.524702473460215,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
2023-01-19,322.57000732421875,293.37213,29.1978759765625,9.051640051337875,47.269631289129386,3365.8846479035506,0.8631359496005023,11.514186649624584,88.48581335037542,False
