Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch,Lossda Última Epoch,Tempo de Execução
2021-11-02,683.1099853515625,630.4517,52.65826416015625,7.708607001704956,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-03,677.27001953125,633.3948,43.875244140625,6.478249867164029,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-04,685.8900146484375,635.75287,50.13714599609375,7.3097938336064345,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-05,663.969970703125,637.1612,26.80877685546875,4.0376489959446555,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-08,650.2899780273438,638.63043,11.6595458984375,1.79297640935614,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-09,653.7000122070312,641.4385,12.26153564453125,1.8757129287995085,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-10,653.010009765625,643.32245,9.68756103515625,1.4835241252478288,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-11,650.239990234375,643.926,6.31396484375,0.9710206906028911,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-12,660.010009765625,645.13806,14.8719482421875,2.253291317122395,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-15,681.239990234375,646.96576,34.27423095703125,5.031153697427464,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-16,678.27001953125,648.35254,29.91748046875,4.410851078074461,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-17,690.0,648.858,41.14202880859375,5.9626128708106885,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-18,691.6099853515625,650.6743,40.9356689453125,5.918895014869382,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-19,692.3499755859375,652.08344,40.26654052734375,5.81592286376064,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-22,676.02001953125,654.5215,21.49853515625,3.1801625003882297,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-23,658.1799926757812,656.7765,1.40350341796875,0.21324006101475562,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-24,658.010009765625,658.9108,0.90081787109375,0.13690032943641847,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-26,675.0,661.2774,13.72259521484375,2.0329770688657405,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-29,663.2000122070312,664.1827,0.982666015625,0.1481703856359763,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-11-30,668.2000122070312,665.6886,2.51141357421875,0.3758475798172581,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-12-01,649.47998046875,666.0058,16.52581787109375,2.544469170422551,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-12-02,617.0999755859375,668.6973,51.59735107421875,8.361262861050509,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-12-03,622.75,670.8947,48.14471435546875,7.730985845920313,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-12-06,606.010009765625,672.4813,66.4713134765625,10.96868243187441,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
2021-12-07,619.8300170898438,672.76514,52.93511962890625,8.54026397066752,61.13071268160049,8670.98828882432,0.6474191179087871,19.19787483701142,80.80212516298857,False,0.07956715673208237,0.01593063212931156,1.741844892501831
