Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch,Tempo de Execução
2021-11-02,141.55999755859375,144.76985,3.2098541259765625,2.2674867062271296,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-03,137.6999969482422,145.18808,7.4880828857421875,5.43796881023662,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-04,143.3800048828125,145.53342,2.153411865234375,1.5018913320545664,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-05,144.19000244140625,145.8166,1.6266021728515625,1.1280963626535456,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-08,139.99000549316406,146.0767,6.086700439453125,4.347953568549826,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-09,139.35000610351562,146.30438,6.954376220703125,4.990581927593956,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-10,139.6699981689453,146.47244,6.8024444580078125,4.870369118054653,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-11,140.14999389648438,146.56262,6.412628173828125,4.575546523794022,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-12,143.86000061035156,146.57512,2.715118408203125,1.8873337944416473,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-15,143.61000061035156,146.5603,2.9503021240234375,2.0543848697754106,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-16,141.1699981689453,146.56767,5.397674560546875,3.8235281083500503,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-17,138.6199951171875,146.60402,7.9840240478515625,5.759648195847919,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-18,137.27999877929688,146.6318,9.351806640625,6.812213522568403,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-19,137.25999450683594,146.59807,9.33807373046875,6.803201299854115,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-22,131.6999969482422,146.4663,14.76629638671875,11.212070409175388,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-23,125.75,146.16684,20.416839599609375,16.236055347601887,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-24,128.25,145.59535,17.345352172851562,13.524641070449562,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-26,130.8000030517578,144.72156,13.921554565429688,10.643390092216514,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-29,125.9000015258789,143.60577,17.705772399902344,14.06336154512508,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-11-30,125.87999725341795,142.29608,16.416084289550795,13.041058665184439,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-01,125.0999984741211,140.85103,15.751029968261719,12.590751527083405,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-02,120.6500015258789,139.33191,18.681907653808594,15.484382443046554,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-03,123.63999938964844,137.75589,14.115890502929688,11.416928641712301,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-06,127.44000244140624,136.17473,8.734725952148452,6.8539907288250905,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-07,127.25,134.69402,7.4440155029296875,5.849913951221759,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-08,126.37999725341795,133.4107,7.0307083129882955,5.563149601032413,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
2021-12-09,126.48999786376952,132.37943,5.889427185058608,4.656041809251634,5.9932345142103225,51.372676606975695,0.28137747498436927,4.709901446768055,95.29009855323194,False,0.06076934561133385,89.21423840522766
