Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch
2021-11-02,141.55999755859375,140.47037,1.089630126953125,0.7697302527164224,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-03,137.6999969482422,141.06235,3.3623504638671875,2.441794145522753,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-04,143.3800048828125,138.82588,4.5541229248046875,3.1762608241831685,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-05,144.19000244140625,141.50058,2.689422607421875,1.8651935376135125,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-08,139.99000549316406,143.2463,3.2563018798828125,2.326095972645578,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-09,139.35000610351562,140.98993,1.639923095703125,1.1768374767668932,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-10,139.6699981689453,139.57416,0.0958404541015625,0.06861921340160222,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-11,140.14999389648438,139.4642,0.685791015625,0.4893264684203478,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-12,143.86000061035156,139.86856,3.9914398193359375,2.774530656472644,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-15,143.61000061035156,142.36765,1.2423553466796875,0.8650897161754745,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-16,141.1699981689453,143.1155,1.94549560546875,1.3781225690323213,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-17,138.6199951171875,141.61037,2.9903717041015625,2.1572441274244327,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-18,137.27999877929688,139.3601,2.080108642578125,1.5152306680321919,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-19,137.25999450683594,137.81348,0.5534820556640625,0.4032362507755291,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-22,131.6999969482422,137.43924,5.7392425537109375,4.357815251860975,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-23,125.75,133.91536,8.165359497070312,6.493327631865059,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-24,128.25,128.8028,0.55279541015625,0.4310295595760234,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-26,130.8000030517578,128.71855,2.081451416015625,1.5913236754222329,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-29,125.9000015258789,130.74667,4.846672058105469,3.8496203330936645,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-11-30,125.87999725341795,128.36229,2.482292175292983,1.97195124678602,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-01,125.0999984741211,127.163635,2.0636367797851562,1.6495897721470014,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-02,120.6500015258789,126.366936,5.7169342041015625,4.738445198341174,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-03,123.63999938964844,123.27908,0.3609161376953125,0.2919088801981421,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-06,127.44000244140624,123.985374,3.454627990722642,2.7107877625088674,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-07,127.25,126.91752,0.33248138427734375,0.26128203086628193,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-08,126.37999725341795,127.82872,1.448722839355483,1.1463228919450719,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-09,126.48999786376952,127.319695,0.8296966552734517,0.6559385479372369,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-10,126.1500015258789,127.09109,0.9410858154296875,0.7460053936159718,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
2021-12-13,125.63999938964844,126.83369,1.1936874389648438,0.9500855179590142,1.5378346691392872,4.2973665824711755,0.939886635690812,1.1961089581071507,98.80389104189285,False,0.0285505261272192
