Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch
2021-11-10,36.900001525878906,38.037876,1.1378746032714844,3.0836708840607066,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-11,37.369998931884766,38.05036,0.6803627014160156,1.8206120440520477,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-12,36.720001220703125,38.059048,1.3390464782714844,3.6466406148061776,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-16,36.70000076293945,38.06431,1.3643074035644531,3.7174587880176935,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-17,35.86000061035156,38.066257,2.206256866455078,6.152417258515626,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-18,35.41999816894531,38.06387,2.643871307373047,7.464346256491555,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-19,35.5099983215332,38.05517,2.5451698303222656,7.167473811957009,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-22,35.529998779296875,38.038277,2.5082778930664062,7.059605908368241,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-23,35.41999816894531,38.01191,2.5919113159179688,7.31764949155317,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-24,35.619998931884766,37.975357,2.355358123779297,6.612459838315518,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-25,35.4900016784668,37.92886,2.4388580322265625,6.8719580639138576,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-26,35.70000076293945,37.873226,2.1732254028320312,6.087465984281097,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-29,36.2599983215332,37.809986,1.54998779296875,4.274649378701932,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-11-30,36.36000061035156,37.741825,1.3818244934082031,3.800397332817433,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-01,36.08000183105469,37.671986,1.5919837951660156,4.412371713894336,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-02,36.900001525878906,37.60327,0.7032699584960938,1.9058805675194153,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-03,37.400001525878906,37.538994,0.1389923095703125,0.3716371762020835,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-06,38.06999969482422,37.482952,0.5870475769042969,1.542021490964468,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-07,36.720001220703125,37.439404,0.7194023132324219,1.9591565613206332,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-08,36.0,37.410217,1.41021728515625,3.917270236545139,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-09,35.650001525878906,37.394466,1.7444648742675781,4.893309395796921,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-10,35.5,37.389202,1.8892021179199219,5.321696106816681,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-13,35.709999084472656,37.3905,1.6805000305175781,4.705964921876152,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-14,36.119998931884766,37.394653,1.2746543884277344,3.528943593911735,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-15,36.119998931884766,37.39914,1.2791404724121094,3.541363538864764,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-16,36.40999984741211,37.40239,0.9923896789550781,2.7255964930349035,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-17,36.58000183105469,37.403954,0.8239517211914062,2.2524649533831087,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
2021-12-20,36.560001373291016,37.404266,0.8442649841308594,2.3092586225875773,1.3708116737429126,2.6782083677216155,0.6336811764270127,3.7415289733764916,96.25847102662351,False,0.0696311667561531
