Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%)
2021-11-10,36.900001525878906,36.252117,0.6478843688964844,1.7557841249467336,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-11,37.369998931884766,36.233036,1.136962890625,3.042448282370494,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-12,36.720001220703125,36.226643,0.4933586120605469,1.3435691602929087,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-16,36.70000076293945,36.22628,0.4737205505371094,1.290791664003135,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-17,35.86000061035156,36.22186,0.3618583679199219,1.0090863406607575,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-18,35.41999816894531,36.181427,0.7614288330078125,2.1497144900346146,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-19,35.5099983215332,36.075893,0.5658950805664062,1.5936218172763146,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-22,35.529998779296875,35.905514,0.3755149841308594,1.0568955728466554,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-23,35.41999816894531,35.69195,0.2719535827636719,0.7677967160430538,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-24,35.619998931884766,35.461452,0.15854644775390625,0.4451051446045539,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-25,35.4900016784668,35.24598,0.24402236938476562,0.6875806081824554,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-26,35.70000076293945,35.065163,0.6348381042480469,1.7782579570896788,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-29,36.2599983215332,34.93504,1.3249588012695312,3.654050917268512,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-11-30,36.36000061035156,34.878414,1.4815864562988281,4.074770163444458,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-01,36.08000183105469,34.903442,1.1765594482421875,3.260973914999922,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-02,36.900001525878906,34.990074,1.9099273681640625,5.17595471323919,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-03,37.400001525878906,35.135868,2.2641334533691406,6.053832516029377,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-06,38.06999969482422,35.34512,2.7248802185058594,7.157552509453575,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-07,36.720001220703125,35.62642,1.0935821533203125,2.9781648065516384,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-08,36.0,35.922726,0.07727432250976562,0.21465089586046007,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-09,35.650001525878906,36.155636,0.5056343078613281,1.4183289936026513,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-10,35.5,36.26839,0.7683906555175781,2.164480719767826,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-13,35.709999084472656,36.242977,0.5329780578613281,1.4925177023963478,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-14,36.119998931884766,36.104603,0.0153961181640625,0.0426249131211121,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-15,36.119998931884766,35.909676,0.21032333374023438,0.5822905314500781,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-16,36.40999984741211,35.71025,0.6997489929199219,1.9218593679001552,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-17,36.58000183105469,35.55058,1.0294227600097656,2.814168147842558,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-20,36.560001373291016,35.458122,1.1018791198730469,3.0138924466179775,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-21,36.470001220703125,35.436993,1.0330085754394531,2.8324884586322403,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-22,36.209999084472656,35.471996,0.7380027770996094,2.0381187400142053,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-23,36.33000183105469,35.53319,0.7968101501464844,2.1932565647860094,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-27,36.33000183105469,35.599106,0.73089599609375,2.0118248259183518,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
2021-12-28,36.31999969482422,35.65675,0.6632499694824219,1.826128785945277,0.8153729901089231,1.0343153025665976,0.85852886974509,2.152116973945048,97.84788302605496
