Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch,Lossda Última Epoch,Tempo de Execução
2021-11-10,36.900001525878906,34.1891,2.7109031677246094,7.346620746948708,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-11,37.369998931884766,34.14948,3.22052001953125,8.617929118492544,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-12,36.720001220703125,34.115223,2.604778289794922,7.093622557741966,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-16,36.70000076293945,34.086334,2.613666534423828,7.121707030216664,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-17,35.86000061035156,34.060734,1.7992668151855469,5.0174756959322515,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-18,35.41999816894531,34.028667,1.3913307189941406,3.928093706718477,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-19,35.5099983215332,33.977768,1.5322303771972656,4.314926639318154,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-22,35.529998779296875,33.901356,1.6286430358886719,4.5838533403994175,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-23,35.41999816894531,33.79942,1.6205787658691406,4.5753214275713665,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-24,35.619998931884766,33.676083,1.9439163208007812,5.457373327040474,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-25,35.4900016784668,33.54035,1.9496498107910156,5.4935185082674876,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-26,35.70000076293945,33.40127,2.2987289428710938,6.439016509090465,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-29,36.2599983215332,33.268963,2.9910354614257812,8.248857142526502,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-11-30,36.36000061035156,33.156914,3.2030868530273438,8.809369634926343,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-01,36.08000183105469,33.076267,3.003734588623047,8.325206308713875,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-02,36.900001525878906,33.03002,3.8699798583984375,10.487749860076082,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-03,37.400001525878906,33.023247,4.3767547607421875,11.70255235875778,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-06,38.06999969482422,33.061745,5.0082550048828125,13.155384935723301,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-07,36.720001220703125,33.15208,3.567920684814453,9.716559276154985,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-08,36.0,33.281754,2.7182464599609375,7.5506846110026045,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-09,35.650001525878906,33.425217,2.2247848510742188,6.240630451191459,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-10,35.5,33.55474,1.9452590942382812,5.479603082361355,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-13,35.709999084472656,33.648525,2.061473846435547,5.772819656363174,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
2021-12-14,36.119998931884766,33.696766,2.4232330322265625,6.708840265461538,2.9280912050580055,9.538101182221888,-0.30459827035938125,7.805213007457581,92.19478699254242,False,0.03996524214744568,0.0029970400501042604,128.7031168937683
