Data,Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual,Erro Médio Absoluto (MAE),Erro Quadrático Médio (MSE),Coeficiente de Determinação (R²),Erro Percentual Absoluto Médio (MAPE) (%),Acurácia (%),Valores Iguais?,Mean Absolute Error da Última Epoch,Tempo de Execução
2021-11-10,26.600000381469727,26.170294,0.4297065734863281,1.6154382230222568,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-11,26.8799991607666,26.086828,0.7931709289550781,2.950784798061941,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-12,26.309999465942383,26.010496,0.2995033264160156,1.1383631033657562,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-16,27.26000022888184,25.890825,1.3691749572753942,5.022652038809449,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-17,27.38999938964844,25.864239,1.5257606506347692,5.570502682126394,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-18,26.690000534057617,25.828884,0.8611164093017578,3.22636340228969,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-19,26.100000381469727,25.736267,0.36373329162597656,1.3936141237921862,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-22,26.299999237060547,25.74382,0.5561790466308594,2.1147492880802887,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-23,26.61000061035156,25.67734,0.9326610565185511,3.504926851282132,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-24,27.780000686645508,25.650377,2.1296234130859375,7.666030815145721,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-25,29.049999237060547,25.560556,3.489442825317383,12.01185169349583,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-26,28.38999938964844,25.594261,2.7957382202148473,9.847616344909923,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-29,29.36000061035156,25.579123,3.780878067016598,12.877649824310836,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-11-30,29.299999237060547,25.619404,3.6805953979492188,12.561759364463606,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-01,29.84000015258789,25.711315,4.128684997558594,13.8360756583325,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-02,26.989999771118164,25.768627,1.2213726043701172,4.525278305771238,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-03,28.479999542236328,25.879078,2.600921630859375,9.132449693344144,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-06,28.780000686645508,25.916187,2.8638134002685547,9.950706504317148,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-07,29.280000686645508,25.992817,3.2871837615966797,11.226720233978515,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-08,29.36000061035156,25.998466,3.36153411865234,11.449366651127221,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-09,29.100000381469727,26.070862,3.0291385650634766,10.409410740050605,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-10,29.5,26.148008,3.351991653442383,11.362683570991127,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-13,29.670000076293945,26.276651,3.3933486938476562,11.436968942102938,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-14,29.61000061035156,26.260511,3.3494892120361293,11.312020070898475,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-15,29.100000381469727,26.33626,2.7637405395507812,9.497390045777022,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-16,29.6200008392334,26.436684,3.183317184448242,10.747188029217593,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
2021-12-17,29.31999969482422,26.4174,2.902599334716797,9.899724982702455,3.0778386440963956,12.806011625703812,0.49469587165918694,9.190663756084076,90.80933624391592,False,0.06635268032550812,4.795001029968262
