Preço Real,Preços Previstos,Erro Absoluto,Erro Percentual
21.709999084472656,20.221601,1.4883975982666016,6.855816034239852
22.02499961853028,20.170542,1.8544578552246165,8.419786094635873
22.2450008392334,20.15186,2.093141555786133,9.409491916469022
22.21999931335449,20.170986,2.0490131378173793,9.221481553268534
21.625,20.22672,1.3982791900634766,6.466030936709719
21.549999237060547,20.303352,1.2466468811035156,5.78490452547023
21.670000076293945,20.382025,1.2879753112792969,5.943587017742039
22.02499961853028,20.449535,1.5754642486572337,7.153072762515507
21.739999771118164,20.503805,1.2361946105957031,5.6862678178957555
22.239999771118164,20.542807,1.6971931457519531,7.631264223104904
22.5,20.573328,1.9266719818115234,8.562986585828993
22.625,20.606392,2.0186080932617188,8.922024721598756
22.280000686645508,20.65156,1.6284408569335938,7.308980281628406
22.39999961853028,20.707817,1.6921825408935618,7.554386471925262
22.3700008392334,20.771221,1.5987796783447266,7.146980859923452
22.395000457763672,20.836033,1.5589675903320312,6.961230446376635
22.3700008392334,20.897013,1.4729881286621094,6.584658352264003
22.299999237060547,20.949715,1.3502845764160156,6.055087993778793
22.51499938964844,20.990221,1.5247783660888707,6.772278069836
22.864999771118164,21.019585,1.8454151153564453,8.070916832841933
22.8700008392334,21.045435,1.8245658874511719,7.977987846511733
24.03499984741211,21.07458,2.960420608520508,12.317123475410638
24.59000015258789,21.12735,3.4626502990722656,14.081538339103469
24.39999961853028,21.225758,3.1742420196533274,13.00918880852231
24.450000762939453,21.376005,3.073995590209961,12.572578708747638
24.920000076293945,21.5709,3.349100112915039,13.439406511483087
24.78499984741211,21.80088,2.984119415283203,12.040021923158436
25.145000457763672,22.049524,3.0954761505126953,12.310503456590506
25.100000381469727,22.30308,2.7969207763671875,11.143110493464519
25.81999969482422,22.547567,3.272432327270508,12.674021556733353
25.55500030517578,22.780403,2.77459716796875,10.857355252728356
25.3700008392334,22.996098,2.373903274536133,9.357127299992099
25.584999084472656,23.185524,2.39947509765625,9.378445118305567
25.05500030517578,23.343695,1.7113056182861328,6.830195958659066
24.780000686645508,23.461035,1.3189659118652344,5.322703290222483
25.200000762939453,23.527842,1.672159194946289,6.635552160004142
24.780000686645508,23.546782,1.2332191467285156,4.976671156402045
25.19499969482422,23.520906,1.674093246459961,6.644545611182793
25.0,23.462559,1.5374412536621094,6.1497650146484375
24.76499938964844,23.38338,1.381618499755863,5.578915945111502
24.520000457763672,23.290705,1.2292957305908203,5.013440895763088
24.9950008392334,23.18736,1.8076400756835938,7.232006461252971
24.5,23.083166,1.4168338775634766,5.7829954186264345
24.46999931335449,22.981201,1.4887981414794886,6.084177291606943
23.93000030517578,22.882753,1.0472469329833984,4.376293019757677
23.979999542236328,22.781784,1.1982154846191406,4.996728555013965
23.89999961853028,22.674915,1.2250843048095774,5.125875834155822
24.049999237060547,22.56179,1.4882087707519531,6.187978453066453
24.200000762939453,22.447706,1.7522945404052734,7.240886302321053
23.780000686645508,22.341986,1.4380149841308594,6.047161238891078
23.975000381469727,22.2471,1.7278995513916016,7.207088733675662
24.1200008392334,22.166351,1.9536495208740234,8.099707516163237
24.1299991607666,22.10434,2.0256595611572266,8.394776757600484
23.70499992370605,22.064087,1.6409130096435511,6.922223222631464
23.86000061035156,22.039906,1.8200950622558558,7.628227224211451
23.565000534057617,22.026918,1.5380821228027344,6.526976821323648
23.799999237060547,22.017162,1.7828369140625,7.490911643754707
23.959999084472656,22.007923,1.9520759582519531,8.14722885159458
23.6299991607666,22.001352,1.6286468505859375,6.892284843115928
23.950000762939453,21.99554,1.9544601440429688,8.160584892620655
23.75,21.99287,1.7571296691894531,7.398440712376645
23.809999465942383,21.993048,1.8169517517089844,7.6310449074471265
23.614999771118164,21.995855,1.6191444396972656,6.85642369422136
23.5,21.998135,1.5018653869628906,6.39091654026762
23.549999237060547,21.995417,1.5545825958251953,6.601200196128901
23.59000015258789,21.98563,1.6043701171875,6.801060223865645
23.84499931335449,21.969494,1.8755054473876918,7.8654036544144805
23.56999969482422,21.952822,1.617177963256836,6.861170913005804
23.405000686645508,21.937304,1.4676971435546875,6.270869901713485
23.7549991607666,21.92078,1.834218978881836,7.721401994032499
23.790000915527344,21.906132,1.8838691711425781,7.918743584045042
24.0,21.897207,2.102792739868164,8.761636416117351
23.600000381469727,21.89951,1.700490951538086,7.205470017166945
24.05500030517578,21.910341,2.1446590423583984,8.915647537518193
24.049999237060547,21.931221,2.1187782287597656,8.809888964548374
23.80500030517578,21.962896,1.8421039581298828,7.738306803253285
23.57999992370605,22.000635,1.5793647766113246,6.697899837665042
24.26499938964844,22.0354,2.229598999023441,9.188539275111616
24.350000381469727,22.069473,2.280527114868164,9.36561428805413
23.975000381469727,22.10812,1.8668804168701172,7.786779508512661
23.614999771118164,22.14928,1.465719223022461,6.206729778651441
23.75,22.183542,1.566457748413086,6.595611572265625
23.674999237060547,22.204573,1.4704265594482422,6.210883239001143
23.61000061035156,22.208733,1.4012680053710902,5.93506128397438
23.424999237060547,22.194931,1.2300682067871094,5.251091768835689
23.540000915527344,22.16238,1.3776206970214844,5.852254220231507
23.59499931335449,22.114553,1.4804458618164027,6.274405191351237
23.674999237060547,22.057888,1.6171112060546875,6.830459379797073
23.7450008392334,22.000387,1.7446136474609375,7.347288211413101
23.709999084472656,21.94983,1.7601699829101562,7.423745469745153
23.81999969482422,21.911009,1.9089908599853516,8.014235451061532
23.674999237060547,21.887411,1.787588119506836,7.550530843137548
23.65999984741211,21.877867,1.7821331024169922,7.5322616817849175
23.65999984741211,21.878973,1.781026840209961,7.527586017312535
